Gene_Symbol	entrez_ID
COL6A1	1291
COL6A2	1292
COL6A3	1293
COL7A1	1294
COL8A1	1295
COL8A2	1296
COL9A1	1297
COL9A2	1298
COL9A3	1299
COL10A1	1300
COL11A1	1301
COL11A2	1302
COL12A1	1303
COL13A1	1305
COL15A1	1306
COL16A1	1307
COL17A1	1308
COL19A1	1310
COMP	1311
COMT	1312
COPA	1314
COPB1	1315
KLF6	1316
SLC31A1	1317
SLC31A2	1318
CORT	1325
MAP3K8	1326
COX4I1	1327
COX5B	1329
COX6A1	1337
COX6A2	1339
COX6B1	1340
COX6C	1345
COX7A1	1346
COX7A2	1347
COX7B	1349
COX7C	1350
COX8A	1351
COX10	1352
COX11	1353
COX15	1355
CP	1356
CPA1	1357
CPA2	1358
CPA3	1359
CPB1	1360
CPB2	1361
CPD	1362
CPE	1363
CLDN4	1364
CLDN3	1365
CLDN7	1366
CPM	1368
CPN1	1369
CPN2	1370
CPOX	1371
CPS1	1373
CPT1A	1374
CPT1B	1375
CPT2	1376
CR1	1378
CR1L	1379
CR2	1380
CRABP1	1381
CRABP2	1382
CRAT	1384
CREB1	1385
ATF2	1386
CREBBP	1387
ATF6B	1388
CREBL2	1389
CREM	1390
CRH	1392
CRHBP	1393
CRHR1	1394
CRHR2	1395
CRIP1	1396
CRIP2	1397
CRK	1398
CRKL	1399
CRMP1	1400
CRP	1401
HAPLN1	1404
CRX	1406
CRY1	1407
CRY2	1408
CRYAA	1409
CRYAB	1410
CRYBA1	1411
CRYBA2	1412
CRYBA4	1413
CRYBB1	1414
CRYBB2	1415
CRYBB2P1	1416
CRYBB3	1417
CRYGA	1418
CRYGB	1419
CRYGC	1420
CRYGD	1421
CRYGS	1427
CRYM	1428
CRYZ	1429
CS	1431
MAPK14	1432
CSE1L	1434
CSF1	1435
CSF1R	1436
CSF2	1437
CSF2RA	1438
CSF2RB	1439
CSF3	1440
CSF3R	1441
CSH1	1442
CSH2	1443
CSHL1	1444
CSK	1445
CSN1S1	1446
CSN3	1448
CSNK1A1	1452
CSNK1D	1453
CSNK1E	1454
CSNK1G2	1455
CSNK1G3	1456
CSNK2A1	1457
CSNK2A2	1459
CSNK2B	1460
VCAN	1462
NCAN	1463
CSPG4	1464
CSRP1	1465
CSRP2	1466
SLC25A10	1468
CST1	1469
CST2	1470
CST3	1471
CST4	1472
CST5	1473
CST6	1474
CSTA	1475
CSTB	1476
CSTF1	1477
CSTF2	1478
CSTF3	1479
NKX2-5	1482
CTAG1B	1485
CTBS	1486
CTBP1	1487
CTBP2	1488
CTF1	1489
CTGF	1490
CTH	1491
CTLA4	1493
CTNNA1	1495
CTNNA2	1496
CTNS	1497
CTNNB1	1499
CTNND1	1500
CTNND2	1501
CTPS1	1503
CTRB1	1504
CTRL	1506
CTSB	1508
CTSD	1509
CTSE	1510
CTSG	1511
CTSH	1512
CTSK	1513
CTSL	1514
CTSV	1515
CTSO	1519
CTSS	1520
CTSW	1521
CTSZ	1522
CUX1	1523
CX3CR1	1524
CXADR	1525
CYB5A	1528
CYB561	1534
CYBA	1535
CYBB	1536
CYC1	1537
CYLC1	1538
CYLC2	1539
CYLD	1540
CYP1A1	1543
CYP1A2	1544
CYP1B1	1545
CYP2A6	1548
CYP2A7	1549
CYP3A7	1551
CYP2B6	1555
CYP2B7P	1556
CYP2C19	1557
CYP2C8	1558
CYP2C9	1559
CYP2C18	1562
CYP2D6	1565
CYP2E1	1571
CYP2F1	1572
CYP2J2	1573
CYP3A4	1576
CYP3A5	1577
CYP4A11	1579
CYP4B1	1580
CYP7A1	1581
CYP8B1	1582
CYP11A1	1583
CYP17A1	1586
CYP19A1	1588
CYP21A2	1589
CYP24A1	1591
CYP26A1	1592
CYP27A1	1593
CYP27B1	1594
CYP51A1	1595
DAB1	1600
DAB2	1601
DACH1	1602
DAD1	1603
CD55	1604
DAG1	1605
DGKA	1606
DGKB	1607
DGKG	1608
DGKQ	1609
DAO	1610
DAP	1611
DAPK1	1612
DAPK3	1613
DARS	1615
DAXX	1616
DAZL	1618
BRINP1	1620
DBH	1621
DBI	1622
DBN1	1627
DBP	1628
DBT	1629
DCC	1630
ECI1	1632
DCK	1633
DCN	1634
DCTD	1635
ACE	1636
DCT	1638
DCTN1	1639
DCX	1641
DDB1	1642
DDB2	1643
DDC	1644
AKR1C1	1645
AKR1C2	1646
GADD45A	1647
DDIT3	1649
DDOST	1650
DDX1	1653
DDX3X	1654
DDX5	1655
DDX6	1656
DMXL1	1657
DHX8	1659
DHX9	1660
DDX10	1662
DDX11	1663
DHX15	1665
DECR1	1666
DEFA1	1667
DEFA3	1668
DEFA4	1669
DEFA5	1670
DEFA6	1671
DEFB1	1672
DEFB4A	1673
DES	1674
CFD	1675
DFFA	1676
DFFB	1677
TIMM8A	1678
GSDME	1687
COCH	1690
DGUOK	1716
DHCR7	1717
DHCR24	1718
DHFR	1719
DHODH	1723
DHPS	1725
CYB5R3	1727
NQO1	1728
DIAPH1	1729
DIAPH2	1730
SEPT1	1731
DIO1	1733
DIO2	1734
DKC1	1736
DLAT	1737
DLD	1738
DLG1	1739
DLG2	1740
DLG3	1741
DLG4	1742
DLST	1743
DLX1	1745
DLX2	1746
DLX3	1747
DLX4	1748
DLX5	1749
DLX6	1750
DMBT1	1755
DMD	1756
SARDH	1757
DMP1	1758
DNM1	1759
DMPK	1760
DMRT1	1761
DMWD	1762
DNA2	1763
DNAH5	1767
DNAH6	1768
DNAH8	1769
DNAH9	1770
DNASE1	1773
DNASE1L1	1774
DNASE1L2	1775
DNASE1L3	1776
DNASE2	1777
DYNC1H1	1778
DYNC1I1	1780
DYNC1I2	1781
DYNC1LI2	1783
DNM2	1785
DNMT1	1786
TRDMT1	1787
DNMT3A	1788
DNMT3B	1789
DNTT	1791
DOCK1	1793
DOCK2	1794
DOCK3	1795
DOK1	1796
DXO	1797
DPAGT1	1798
DPEP1	1800
DPH1	1801
DPH2	1802
DPP4	1803
DPP6	1804
DPT	1805
DPYD	1806
DPYS	1807
DPYSL2	1808
DPYSL3	1809
DR1	1810
SLC26A3	1811
DRD1	1812
DRD2	1813
DRD4	1815
DRD5	1816
DRG2	1819
ARID3A	1820
DRP2	1821
ATN1	1822
DSC1	1823
DSC2	1824
DSC3	1825
DSCAM	1826
RCAN1	1827
DSG1	1828
DSG2	1829
DSG3	1830
TSC22D3	1831
DSP	1832
EPYC	1833
SLC26A2	1836
DTNA	1837
DTNB	1838
HBEGF	1839
DTX1	1840
DTYMK	1841
ECM2	1842
DUSP1	1843
DUSP2	1844
DUSP3	1845
DUSP4	1846
DUSP5	1847
DUSP6	1848
DUSP7	1849
DUSP8	1850
DUSP9	1852
DUT	1854
DVL1	1855
DVL2	1856
DVL3	1857
DYRK1A	1859
TOR1A	1861
E2F1	1869
E2F2	1870
E2F3	1871
E2F4	1874
E2F5	1875
E2F6	1876
E4F1	1877
EBF1	1879
GPR183	1880
ECE1	1889
TYMP	1890
ECH1	1891
ECHS1	1892
ECM1	1893
ECT2	1894
EDA	1896
S1PR1	1901
LPAR1	1902
S1PR3	1903
EDN1	1906
EDN2	1907
EDN3	1908
EDNRA	1909
EDNRB	1910
PHC1	1911
PHC2	1912
EEF1A1	1915
EEF1A2	1917
EEF1B2	1933
EEF1D	1936
EEF1G	1937
EEF2	1938
EIF2D	1939
EFNA1	1942
EFNA2	1943
EFNA3	1944
EFNA4	1945
EFNA5	1946
EFNB1	1947
EFNB3	1949
EGF	1950
CELSR3	1951
CELSR2	1952
MEGF6	1953
MEGF8	1954
MEGF9	1955
EGFR	1956
EGR1	1958
EGR2	1959
EGR3	1960
EGR4	1961
EHHADH	1962
EIF1AX	1964
EIF2S1	1965
EIF2B1	1967
EIF2S3	1968
EPHA2	1969
EIF4A1	1973
EIF4A2	1974
EIF4B	1975
EIF4E	1977
EIF4EBP1	1978
EIF4EBP2	1979
