chr7	55086174	55209315	SE0	123141	+	9641.9	11	0.89
chr6	16669134	16770839	SE1	101705	+	7324.1	12	0.91
chr1	209527447	209609260	SE2	81813	+	10885	9	1.09
chr22	46431036	46486987	SE3	55951	+	7528.3	14	0.9
chr10	105835223	105883387	SE4	48164	+	7329.4	11	0.86
chr1	209957299	210015458	SE5	1083.707	+	6891.1	10	0.98
chr6	10398878	10453057	SE6	837.324	+	6847.5	13	0.97
chr10	3780889	3829008	SE7	406.243	+	6691.8	11	0.88
chr3	189505043	189564371	SE8	381.891	+	6152.1	14	0.83
chr19	39126375	39190179	SE9	368.729	+	6232.6	10	1.09
chr15	93424581	93466345	SE10	302.844	+	5673.5	14	0.9
chr12	46940492	46957403	SE11	295.945	+	5748.9	19	0.95
chr15	60653836	60720078	SE12	272.367	+	5603	9	0.87
chr1	214577998	214652260	SE13	185.451	+	5581.9	13	0.89
chr3	5018882	5068799	SE14	174.881	+	5514.2	10	0.98
chr18	3592966	3606686	SE15	140.751	+	5353.7	29	0.94
chr15	67356993	67445381	SE16	131.764	+	5323.3	12	0.89
chr10	95166337	95242926	SE17	130.99	+	5268.2	13	0.9
chr3	190019685	190105179	SE18	126.302	+	4914.8	12	0.89
chr1	201228581	201288791	SE19	120.083	+	4889.7	12	0.9
chr4	15894157	15940982	SE20	116.924	+	5079.6	12	0.89
chr12	95591622	95614016	SE21	115.576	+	5170.3	9	0.87
chr10	4693702	4747363	SE22	110.566	+	4867.6	10	0.87
chr11	65238862	65276286	SE23	110.422	+	5401	16	0.83
chr3	189613261	189679494	SE24	106.175	+	5412.2	10	0.98
chr9	97766027	97828195	SE25	101.428	+	5488.5	16	0.85
chr18	9594518	9674663	SE26	92.012	+	4442.7	20	0.96
chr1	27174398	27227427	SE27	90.27	+	4864.4	9	1.09
chr17	38629124	38704332	SE28	89.67	+	4666.7	14	0.9
chr5	52614170	52640013	SE29	88.966	+	4742.5	10	0.97
chr8	118999685	119075688	SE30	87.125	+	4846.8	10	0.87
